,id,Mun_Code,Reg_Name,Pro_Name,Mun_Name,water,food,shelter,health,education,work,peace,participation,protect,environment
87,87,97224000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,BALIGUIAN,39.34951901,21.90082645,2.084287678,66.48039068,12.34746639,45.94484334,1.420064132,91.42241624,99.38505641,45.55605587
88,88,97225000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,GODOD,47.31369151,41.9504644,2.451101758,67.85082873,10.75100581,29.34058225,0.222827433,,99.40886134,45.51083094
89,89,97226000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,BACUNGAN (Leon T. Postigo),45.12509477,58.35579515,7.975739196,65.58153203,25.11007338,55.406186,0.742987111,,99.2889157,0.029763563
90,90,97227000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,KALAWIT,53.63423212,49.18401801,1.309105119,80.36014967,13.79591837,54.05344711,3.223915592,,99.40337663,45.56342725
91,91,97302000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,AURORA,13.35372069,46.18181818,1.600407747,71.39518414,6.818181818,52.1828454,0.326197757,88.23170131,98.67969107,45.50725004
92,92,97303000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,BAYOG,21.66167166,73.41587764,2.097902098,75.96030142,11.73321759,51.08682526,0.482850483,86.0438808,99.29919311,45.55596069
93,93,97305000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,DIMATALING,26.44836272,50.36945813,3.719069492,88.33212854,11.33818589,49.87750102,2.163283449,90.1599016,99.31855095,0.016231669
94,94,97306000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,DINAS,26.40097933,70.09925558,2.842763874,34.38818565,9.869042797,54.84726451,0.421653972,84.75101397,99.29543176,0.008334924
95,95,97307000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,DUMALINAO,52.17729393,55.22914219,1.088646967,81.45857839,6.797101449,48.62095731,1.135303266,86.33367694,98.63444717,45.51032396
96,96,97308000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,DUMINGAG,36.22772277,57.27568573,1.524752475,67.71902131,9.918639729,48.14686406,0.267326733,77.67872826,99.16857479,45.5077616
97,97,97311000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,KUMALARANG,11.52410323,47.85100287,4.220094141,79.75959958,14.61731493,54.05591992,0.470702808,84.69914644,99.20555036,45.53996183
98,98,97312000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,LABANGAN,33.25526932,62.83018868,5.140515222,20.96427369,9.106734849,47.57965936,0.960187354,87.12132089,99.00933238,0.031676356
99,99,97313000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,LAPUYAN,28.47629618,43.18706697,3.07594736,85.67041226,10.48339265,38.35858298,0.681782147,82.42348104,99.1443726,0.033913736
100,100,97315000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,MAHAYAG,29.40607883,44.72748815,2.491676512,75.67145605,10.76784643,44.23478624,0.526259263,85.63485513,98.82191074,0.022554548
101,101,97317000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,MARGOSATUBIG,39.79577563,40.81632653,1.706532382,28.85500113,10.80622348,53.94268775,0.083927822,96.46978058,99.19731735,0.009615659
102,102,97318000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,MIDSALIP,40.21918631,44.20896994,2.026722714,19.18129396,11.04686182,54.62678666,0.105089326,83.27045986,99.38758225,45.54914671
103,103,97319000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,MOLAVE,18.47083846,53.94321767,3.470278742,70.31079815,9.002754821,48.16187949,0.615694615,86.44198895,98.40979887,0.021901588
104,104,97322000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,PAGADIAN CITY (Capital),26.58741951,44.6165376,5.619943867,87.49702791,9.081533798,51.93059106,3.14677233,89.74502394,97.81925048,0.036063888
105,105,97323000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,RAMON MAGSAYSAY (LIARGO),26.19426752,51.2991573,2.006369427,12.75630693,7.644628099,45.36687158,3.821656051,82.95109932,98.83860783,45.50156329
106,106,97324000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SAN MIGUEL,48.02736602,62.4635143,3.033067275,12.66138887,7.91989076,45.30432616,0.410490308,85.41004947,98.93256964,0.079778937
107,107,97325000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SAN PABLO,26.38864552,74.23438138,3.434378833,93.07962671,11.40893471,59.61804247,0.367969161,83.90025282,98.971652,0.003533322
108,108,97327000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TABINA,24.97555251,35.35564854,7.197340113,22.95088926,8.495482974,50.13367197,0.312927831,91.01392602,99.11815171,0.043707311
109,109,97328000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TAMBULIG,21.63468176,48.41757204,3.921027199,48.97583082,12.07768023,48.39734604,0.40038658,86.94617986,98.82466814,0.013174976
110,110,97333000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,LAKEWOOD,18.56936416,39.69849246,1.469171484,27.73937738,11.49247121,57.23593964,1.348747592,84.17100226,98.57434904,45.54216498
111,111,97337000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,JOSEFINA,16.53474055,27.06855792,5.936675462,16.52097902,10.13737565,51.70556553,0.087950748,84.61734045,99.09153833,0.011593343
112,112,97338000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,PITOGO,14.78228369,47.36297828,7.568678752,56.33997665,9.135047653,53.76314897,1.77536909,86.05754397,99.26451565,0.010841667
113,113,97340000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,SOMINOT (DON MARIANO MARCOS),66.42355484,52.42494226,2.45813074,34.93444276,10.75708061,49.28061075,1.242571583,84.62181595,99.4136246,45.50291562
